property_id,title,price,price_per_sqft,bhk_count,super_area,floor,bathroom_count,property_type,latitude,longitude,dist_to_centre_km,dist_to_airport_km,dist_to_metro_km,accessibility_score,transaction_Resale,furnishing_status_Semi,furnishing_status_Unfurnished,locality_frequency,locality_Amrita Nagar,locality_Ardendale,locality_Attibele,locality_BEML Layout 3rd Stage,locality_BSF Campus,locality_Balagere,locality_Bengaluru,locality_Budigere Cross,locality_Carmelaram,locality_D Nagaraj Layout,locality_Dasanayakanahalli,locality_Devanahalli,locality_Devin Paradise Enclave,locality_Eastwood Township,locality_Electronic City Phase I,locality_Fathima Layout,locality_Govindaraja Nagar Ward,locality_Gundappa Reddy Layout,locality_Gunjur Village,locality_HBR Layout 2nd Block,locality_Halasuru,locality_Infosys Head Quater,locality_Ittamadu,locality_JP Nagar 6th Phase,locality_Jawahar Nagar,locality_Kadubeesanahalli,locality_Kaikondrahalli,locality_Kalena Agrahara,locality_Kanakapura,locality_Kaveri Nagar,locality_Kodigehalli,locality_Koralur,locality_Koramangala 3 Block,locality_Manyata Residency,locality_Maruthi Layout,locality_Narayanapura,locality_Other,locality_Palm Meadows,locality_Parangi Palaya,locality_Patel Layout,locality_Phase III,locality_Pragathi Nagar,locality_Prakash Nagar,locality_Prakruthi Nagar,locality_Royal Enclave,locality_Saint Thomas Town,locality_Shivananada Layout,locality_Veer Sandra,locality_Vinayaka Nagar,locality_Yeshwanthpur Industrial Area
11,"6 BHK Flat  for Sale in Lavelle Road, Bangalore",140000000.0,35000.0,6.0,3800.0,1.0,7.0,apartment,12.97083502,77.59765882,-0.21825333939723573,-0.20997827151061643,-0.9376562440994389,0.6197,1.0,1.0,0.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
12,"2 BHK Flat  for Sale in Chandapura, Bangalore",5780000.0,6192.0,2.0,692.0,3.0,2.0,apartment,12.798481,77.7138094,-0.19526869244817044,-0.1867326237441971,-0.9690298839645857,0.6187,0.0,0.0,1.0,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
13,"2 BHK Flat  for Sale in Hebbal, Bangalore",30000000.0,15881.0,2.0,1200.0,8.0,2.0,apartment,13.12173909,77.59683857,-0.20338323790062537,-0.22688600334755907,1.015215233822327,0.4379,0.0,0.0,1.0,67,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,"2 BHK Flat  for Sale in Gunjur, Bangalore",14000000.0,11725.0,2.0,1194.0,1.0,2.0,apartment,12.92660312,77.72741011,-0.20118718979880806,-0.2011965823544136,1.015215233822327,0.4365,0.0,0.0,1.0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
15,"2 BHK Flat  for Sale in Thanisandra Main Road, Bangalore",10800000.0,8617.0,2.0,1259.0,1.0,2.0,apartment,13.0582034,77.6210251,-0.20927219200325647,-0.21733939330331592,1.015215233822327,0.4381,0.0,0.0,1.0,44,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,"2 BHK Flat  for Sale in Krishnarajapura, Bangalore",9670000.0,7299.0,2.0,1325.0,1.0,2.0,apartment,13.163665,77.619335,-0.19816393075280847,-0.22919070004918699,1.015215233822327,0.4375,0.0,0.0,1.0,345,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,"2 BHK Flat  for Sale in Attibele, Bangalore",8630000.0,8024.0,2.0,1075.0,1.0,2.0,apartment,12.7808916,77.7739656,-0.1882373994226209,-0.1796397209641871,1.015215233822327,0.4341,0.0,0.0,1.0,15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,"2 BHK Flat  for Sale in RR Nagar, Bangalore",14100000.0,9870.0,2.0,1430.0,1.0,2.0,apartment,12.915409,77.515634,-0.21171443383846136,-0.19735210983919807,-0.9679290544956332,0.6208,0.0,0.0,1.0,21,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,"2 BHK Flat  for Sale in Hosa Road, off Hosur Road, Bangalore",12800000.0,12308.0,2.0,1040.0,1.0,2.0,apartment,12.877316,77.6381045,-0.20641634469596046,-0.19797795420214012,-1.091221955018315,0.6299,0.0,0.0,1.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20,"2 BHK Flat  for Sale in Chambenahalli, Bangalore",7950000.0,6850.0,2.0,1160.0,1.0,2.0,apartment,12.91235,77.680996,-0.20602243472254034,-0.19305067159865977,1.015215233822327,0.4365,0.0,0.0,1.0,174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
