property_id,title,price,price_per_sqft,bhk_count,super_area,floor,transaction,furnishing_status,bathroom_count,property_type,latitude,longitude,locality,dist_to_centre_km,dist_to_airport_km,dist_to_metro_km,accessibility_score
3033,"3 BHK Apartment for Sale in Bellandur, Outer Ring Road Bangalore",41000000.0,17711.0,3.0,1639.0,3.0,Resale,Unfurnished,3.0,apartment,12.9145263,77.6845091,Kaikondrahalli,18.54,53.86,40.0,0.4241
3034,3 BHK Apartment for Sale in Kanakapura Road Bangalore,41500000.0,19393.0,3.0,2140.0,31.0,Resale,Unfurnished,4.0,apartment,12.746104,77.487602,Kanakapura,35.41,72.18,40.0,0.4137
3035,3 BHK Apartment for Sale in Panathur Bangalore,16500000.0,10476.0,3.0,1575.0,10.0,Resale,Unfurnished,3.0,apartment,12.93555355,77.70595213,Kadubeesanahalli,21.23,48.71,40.0,0.422
3036,3 BHK Apartment for Sale in Panathur Bangalore,25000000.0,17794.0,3.0,1400.0,6.0,Resale,Unfurnished,2.0,apartment,12.9358405,77.708067,Balagere,22.95,46.43,40.0,0.4209
3037,3 BHK Apartment for Sale in Hulimangala Bangalore,17700000.0,10631.0,3.0,1665.0,1.0,New Property,Unfurnished,3.0,apartment,12.82521,77.642746,Vinayaka Layout,26.78,57.54,8.76,0.0588
3038,3 BHK Apartment for Sale in Hsr Layout Bangalore,49000000.0,19125.0,3.0,2030.0,2.0,New Property,Unfurnished,3.0,apartment,12.9114311,77.6445763,Parangi Palaya,14.21,54.04,4.81,0.0988
3039,3 BHK Apartment for Sale in Sarjapura Bangalore,27400000.000000004,13783.0,3.0,1948.0,9.0,New Property,Unfurnished,3.0,apartment,12.91235,77.680996,Kaikondrahalli,17.17,52.49,40.0,0.4258
3040,3 BHK Apartment for Sale in Sarjapur Road Bangalore,9500000.0,6209.0,3.0,1100.0,5.0,New Property,Unfurnished,3.0,apartment,12.7187505,77.7017436,Vinayaka Nagar,37.51,68.27,40.0,0.4133
3042,3 BHK Apartment for Sale in Old Madras Road Bangalore,17500000.0,11460.0,3.0,1068.0,6.0,Resale,Semi,3.0,apartment,13.043516718541104,77.7482702423293,Virgonagar,23.8,31.47,40.0,0.4223
3043,3 BHK Apartment for Sale in Varthur Bangalore,21200000.0,14540.0,3.0,1050.0,22.0,Resale,Unfurnished,2.0,apartment,12.94162601,77.74251723,Patel Layout,23.0,40.77,40.0,0.4215
3044,1 BHK Apartment for Sale in Varthur Bangalore,10000000.0,14948.0,1.0,450.0,27.0,New Property,Unfurnished,1.0,apartment,12.94162601,77.74251723,Patel Layout,23.0,40.77,40.0,0.4215
3045,1 BHK Apartment for Sale in Infosys Head Quater Bangalore,7900000.0,12305.0,1.0,447.0,5.0,Resale,Unfurnished,1.0,apartment,12.8539625,77.7889754,Infosys Head Quater,32.26,54.23,40.0,0.4156
3046,"3 BHK Apartment for Sale in Hadosiddapura, Chikkakannalli Bangalore",24000000.0,11507.0,3.0,1570.0,12.0,New Property,Unfurnished,2.0,apartment,12.891293073785318,77.70453405283318,Chikkakannalli,22.57,57.89,40.0,0.4204
3047,3 BHK Apartment for Sale in Indiranagar Bangalore,36000000.0,17561.0,3.0,1768.0,3.0,Resale,Unfurnished,3.0,apartment,12.97360816,77.64114595,Stage 3,11.06,41.95,2.2,0.1628
3048,3 BHK Apartment for Sale in Balagere Bangalore,19000000.0,12608.0,3.0,995.0,6.0,Resale,Unfurnished,3.0,apartment,12.9358405,77.708067,Balagere,22.95,46.43,40.0,0.4209
3049,3 BHK Apartment for Sale in Anekal Bangalore,25900000.0,14000.0,3.0,1853.0,19.0,New Property,Unfurnished,3.0,apartment,12.7187505,77.7017436,Vinayaka Nagar,37.51,68.27,40.0,0.4133
